DEPARTAMENTO;MUNICIPIO;CODIGO DANE;ARMAS MEDIOS;FECHA HECHO;GENERO;AGRUPA EDAD PERSONA;CANTIDAD
ATLÁNTICO;BARRANQUILLA (CT);8001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;MASCULINO;ADULTOS;1
BOYACÁ;DUITAMA;15238000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;MASCULINO;ADULTOS;1
BOYACÁ;TUNJA (CT);15001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;MASCULINO;ADULTOS;1
CAQUETÁ;FLORENCIA (CT);18001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;FEMENINO;ADULTOS;1
CHOCÓ;QUIBDÓ (CT);27001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;MASCULINO;ADULTOS;2
CÓRDOBA;MONTERÍA (CT);23001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;MASCULINO;ADULTOS;1
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;FEMENINO;ADULTOS;3
CUNDINAMARCA;BOGOTÁ D.C. (CT);11001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;MASCULINO;ADULTOS;3
CUNDINAMARCA;SOACHA;25754000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;MASCULINO;ADULTOS;1
HUILA;CAMPOALEGRE;41132000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;MASCULINO;ADULTOS;1
HUILA;LA PLATA;41396000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;FEMENINO;ADULTOS;1
META;VILLAVICENCIO (CT);50001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;FEMENINO;ADULTOS;1
RISARALDA;PEREIRA (CT);66001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;MASCULINO;ADULTOS;1
SANTANDER;BARBOSA;68077000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;MASCULINO;ADULTOS;1
SANTANDER;BARRANCABERMEJA;68081000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;FEMENINO;ADULTOS;1
SANTANDER;BUCARAMANGA (CT);68001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;FEMENINO;ADOLESCENTES;1
SANTANDER;BUCARAMANGA (CT);68001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;MASCULINO;ADULTOS;2
SANTANDER;SOCORRO;68755000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;FEMENINO;ADULTOS;1
SUCRE;GALERAS;70235000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;MASCULINO;ADULTOS;1
SUCRE;SINCELEJO (CT);70001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;MASCULINO;ADULTOS;2
TOLIMA;IBAGUÉ (CT);73001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;MASCULINO;ADULTOS;1
VALLE;CALI (CT);76001000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;MASCULINO;ADULTOS;1
VALLE;PALMIRA;76520000;ARMA BLANCA / CORTOPUNZANTE;1/01/2010;FEMENINO;ADULTOS;1
ANTIOQUIA;MEDELLÍN (CT);5001000;ARMA DE FUEGO;1/01/2010;MASCULINO;ADULTOS;2
ATLÁNTICO;BARRANQUILLA (CT);8001000;ARMA DE FUEGO;1/01/2010;MASCULINO;ADULTOS;2
ATLÁNTICO;BARRANQUILLA (CT);8001000;ARMA DE FUEGO;1/01/2010;NO REPORTA;ADULTOS;1
